External ID,Name,Status,Last SO Create Date,Agency Region,County/Ward,Shipping Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Date of Last Verification,Distribution Models,Food Format ,Additional Note on Hours of Operations,Latitude,Longitude
21933-PART-01,Catholic University of America : The Cardinal Cupboard,Active,2/18/2025,DC,DC Ward 5,620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Thursday,Every week,12:00 PM,6:00 PM,No,,10/15/2024,,Loose groceries,,38.9391024,-76.9999642
21933-PART-01,Catholic University of America : The Cardinal Cupboard,Active,2/18/2025,DC,DC Ward 5,620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Friday,Every week,12:00 PM,6:00 PM,No,,10/15/2024,,Loose groceries,,38.9391024,-76.9999642
19515-PART-01,Faith Tabernacle of Prayer : Faith Tabernacle of Prayer,Active,1/20/2025,DC,DC Ward 8,2465 Alabama Ave SE Washington DC 20020,(202) 678-6012,Saturday,1st of the Month,11:30 AM,1:30 PM,No,,10/17/2024,,Pre-bagged or boxed groceries,"no income, ID, or zip code requirement",38.8546279,-76.9696303
22570-PART-01,Code 3 Association : Code 3 Association,Active,7/29/2024,DC,VA Falls Church City,3 Association 2929 Graham Road Falls Church VA 22042,(703) 400-2118,Saturday,"1st, 2nd, and 3rd of the Month",11:00 AM,12:00 PM,No,,2/15/2023,Walk up,Loose groceries,,38.877505,-77.191914
18245-PART-04,Enterprise Community Development : ECD - Edgewood Commons,Active,2/24/2025,DC,DC Ward 5,8403 Colesville Rd Suite 1150 Silver Spring MD 20910,(202) 506-4520,Thursday,1st and 3rd of the Month,11:00 AM,4:00 PM,No,,10/25/2024,,,Fresh Produce,38.9949324,-77.0301471
21933-PART-01,Catholic University of America : The Cardinal Cupboard,Active,2/18/2025,DC,DC Ward 5,620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Monday,Every week,12:00 PM,6:00 PM,No,,10/15/2024,,,,38.9391024,-76.9999642
21989-PART-01,The Gourmet Angel Food Bank : The Gourmet Angel Food Bank,Active,2/21/2025,VA,VA City of Alexandria,317 N Payne Street Alexandria VA 22314,(469) 237-7858,Friday,Every week,10:00 AM,12:00 PM,No,,10/2/2024,,,,38.8087712,-77.0525098
14065-PART-01,Lorton Community Action Center : Lorton Community Action Center,Active,2/24/2025,VA,VA Fairfax County,9520 Richmond Hwy door A3 Lorton VA 22079,(703) 339-5161,Wednesday,Every week,11:00 AM,5:00 PM,No,Zip Code,9/24/2024,,,"22060, 22079",38.6981514,-77.2141602
14065-PART-01,Lorton Community Action Center : Lorton Community Action Center,Active,2/24/2025,VA,VA Fairfax County,9520 Richmond Hwy door A3 Lorton VA 22079,(703) 339-5161,Thursday,Every week,9:00 AM,11:00 AM,No,Zip Code,9/24/2024,,,"22060, 22079",38.6981514,-77.2141602
14065-PART-01,Lorton Community Action Center : Lorton Community Action Center,Active,2/24/2025,VA,VA Fairfax County,9520 Richmond Hwy door A3 Lorton VA 22079,(703) 339-5161,Tuesday,Every week,5:00 PM,7:00 PM,No,Zip Code,9/24/2024,,,"22060, 22079",38.6981514,-77.2141602
14081-PART-01,District House GWU : DC University Food Pantry GWU,Active,1/27/2025,DC,DC Ward 2,"800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Wednesday,Every week,12:00 PM,6:00 PM,No,,9/19/2024,Walk up,Loose groceries,Members of the George Washington Univ. community only.,38.899577,-77.046652
14081-PART-01,District House GWU : DC University Food Pantry GWU,Active,1/27/2025,DC,DC Ward 2,"800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Friday,Every week,2:00 PM,8:00 PM,No,,9/23/2024,Walk up,Loose groceries,Open to George Washington University Students Only,38.899577,-77.046652
14081-PART-01,District House GWU : DC University Food Pantry GWU,Active,1/27/2025,DC,DC Ward 2,"800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Monday,Every week,12:00 PM,6:00 PM,No,,9/19/2024,Walk up,Loose groceries,Open to George Washington University Students Only,38.899577,-77.046652
14081-PART-01,District House GWU : DC University Food Pantry GWU,Active,1/27/2025,DC,DC Ward 2,"800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Thursday,Every week,12:00 PM,6:00 PM,No,,9/19/2024,Walk up,Loose groceries,Members of the George Washington Univ. community only.,38.899577,-77.046652
14081-PART-01,District House GWU : DC University Food Pantry GWU,Active,1/27/2025,DC,DC Ward 2,"800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Tuesday,Every week,12:00 PM,6:00 PM,No,,9/19/2024,Walk up,Loose groceries,Members of the George Washington Univ. community only.,38.899577,-77.046652
14240-PART-01,Interfaith Community Action Council : Interfaith Community Action Council - Oxon Hill Food Pantry,Active,2/15/2025,MD,MD Prince George's County,4915 Saint Barnabas Road Temple Hills MD 20748,(301) 899-8358,Saturday,2nd of the Month,10:00 AM,12:00 PM,Yes,Zip Code,10/2/2024,"Drive thru,Walk up",Loose groceries,,38.8219741,-76.9565649
14520-PART-01,Father Mckenna Center : The Father McKenna Center,Active,2/26/2025,DC,DC Ward 6,900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Friday,Every week,1:30 PM,2:30 PM,No,"ID,Income",9/23/2024,Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",38.897219,-77.002797
14520-PART-01,Father Mckenna Center : The Father McKenna Center,Active,2/26/2025,DC,DC Ward 6,900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Thursday,Every week,1:30 PM,2:30 PM,No,"ID,Income",9/23/2024,Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",38.897219,-77.002797
14520-PART-01,Father Mckenna Center : The Father McKenna Center,Active,2/26/2025,DC,DC Ward 6,900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Tuesday,Every week,1:30 PM,2:30 PM,No,"ID,Income",9/19/2024,Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",38.897219,-77.002797
14520-PART-01,Father Mckenna Center : The Father McKenna Center,Active,2/26/2025,DC,DC Ward 6,900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Monday,Every week,1:30 PM,2:30 PM,No,"ID,Income",9/19/2024,Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",38.897219,-77.002797
14665-PART-01,Brighter Day Ministries Food Pantry : Brighter Day Ministries Food Pantry,Active,12/30/2024,DC,DC Ward 8,3209 5th Street SE Washington DC 20032,(301) 806-4305,Thursday,Every week,11:00 AM,2:00 PM,No,"ID,Income",10/4/2024,Walk up,Loose groceries,,38.842617,-76.9997498
14675-PART-01,Foggy Bottom Food Pantry : Foggy Bottom Food Pantry (United Church),Active,2/20/2025,DC,DC Ward 2,1920 G Street NW Washington DC 20006,(202) 573-0450,Saturday,2nd and 4th of the Month,10:00 AM,12:00 PM,No,"ID,Income,Zip Code",1/31/2025,,,,38.8980713,-77.0446813
14770-PART-01,Food for Others : Food For Others,Active,2/26/2025,VA,VA Fairfax County,2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Tuesday,Every week,9:30 AM,5:00 PM,No,"ID,Income",9/23/2024,"Home Delivery,Walk up",Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,38.8721203,-77.2368615
14770-PART-01,Food for Others : Food For Others,Active,2/26/2025,VA,VA Fairfax County,2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Friday,Every week,9:30 AM,5:00 PM,No,"ID,Income",9/23/2024,Walk up,Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,38.8721203,-77.2368615
14770-PART-01,Food for Others : Food For Others,Active,2/26/2025,VA,VA Fairfax County,2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Wednesday,Every week,9:30 AM,5:00 PM,No,"ID,Income",9/23/2024,"Home Delivery,Walk up",Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,38.8721203,-77.2368615
14770-PART-01,Food for Others : Food For Others,Active,2/26/2025,VA,VA Fairfax County,2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Thursday,Every week,9:30 AM,5:00 PM,No,"ID,Income",9/23/2024,"Home Delivery,Walk up",Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,38.8721203,-77.2368615
14895-PART-01,"Cornerstones Inc. : Cornerstones, Inc.",Active,7/17/2023,VA,VA Fairfax County,11484 Washington Plz W  #120 Reston VA 20190,(571) 323-1410,Friday,Every week,8:30 AM,1:30 PM,No,"ID,Zip Code",5/15/2023,"Home Delivery,Walk up",Loose groceries,,38.9682749,-77.3425805
14895-PART-01,"Cornerstones Inc. : Cornerstones, Inc.",Active,7/17/2023,VA,VA Fairfax County,11484 Washington Plz W  #120 Reston VA 20190,(571) 323-1410,Wednesday,Every week,8:30 AM,4:30 PM,No,"ID,Zip Code",5/15/2023,"Home Delivery,Walk up",Loose groceries,,38.9682749,-77.3425805
14895-PART-01,"Cornerstones Inc. : Cornerstones, Inc.",Active,7/17/2023,VA,VA Fairfax County,11484 Washington Plz W  #120 Reston VA 20190,(571) 323-1410,Saturday,1st of the Month,9:00 AM,1:00 PM,No,"ID,Zip Code",5/15/2023,"Home Delivery,Walk up",Loose groceries,,38.9682749,-77.3425805
14895-PART-01,"Cornerstones Inc. : Cornerstones, Inc.",Active,7/17/2023,VA,VA Fairfax County,11484 Washington Plz W  #120 Reston VA 20190,(571) 323-1410,Thursday,Every week,8:30 AM,4:30 PM,No,"ID,Zip Code",5/15/2023,"Home Delivery,Walk up",Loose groceries,,38.9682749,-77.3425805
14895-PART-01,"Cornerstones Inc. : Cornerstones, Inc.",Active,7/17/2023,VA,VA Fairfax County,11484 Washington Plz W  #120 Reston VA 20190,(571) 323-1410,Tuesday,Every week,8:30 AM,4:30 PM,No,"ID,Zip Code",5/15/2023,"Home Delivery,Walk up",Loose groceries,,38.9682749,-77.3425805
14895-PART-01,"Cornerstones Inc. : Cornerstones, Inc.",Active,7/17/2023,VA,VA Fairfax County,11484 Washington Plz W  #120 Reston VA 20190,(571) 323-1410,Monday,Every week,8:30 AM,4:30 PM,No,"ID,Zip Code",5/15/2023,"Home Delivery,Walk up",Loose groceries,,38.9682749,-77.3425805
14910-PART-01,Mary House : Mary House,Active,1/23/2025,DC,DC Ward 5,4303 13th st NE Washington DC 20017,(202) 635-9025,Tuesday,1st and 3rd of the Month,10:00 AM,1:00 PM,Yes,,10/11/2024,,Loose groceries,,38.9420099,-76.988045
15285-PART-01,Columbia Baptist Church : Columbia Baptist Church,Active,2/23/2025,VA,VA Fairfax County,3245 Glen Carlyn Rd. Falls Church VA 22041,(571) 422-2075,Saturday,Every week,9:00 AM,10:30 AM,No,,9/24/2024,"Drive thru,Walk up",Loose groceries,,38.85823,-77.138984
15390-PART-02,Salvation Army : The Salvation Army - Sherman Ave,Active,2/25/2025,DC,DC Ward 1,3335 Sherman Ave. NW Washington DC 20010,(202) 829-0100,Monday,Every week,9:30 AM,1:30 PM,No,"ID,Zip Code",10/12/2023,,Pre-bagged or boxed groceries,,38.9315816,-77.0263815
15830-PART-01,United Community : United Community Ministry,Active,2/24/2025,VA,VA Fairfax County,7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Wednesday,Every week,2:00 PM,5:00 PM,No,"ID,Income,Zip Code",9/24/2024,"Home Delivery,Walk up",Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",38.754229,-77.086236
15830-PART-01,United Community : United Community Ministry,Active,2/24/2025,VA,VA Fairfax County,7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Tuesday,Every week,12:00 PM,3:00 PM,No,"ID,Income,Zip Code",9/24/2024,Walk up,Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",38.754229,-77.086236
15830-PART-01,United Community : United Community Ministry,Active,2/24/2025,VA,VA Fairfax County,7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Thursday,Every week,12:00 PM,3:00 PM,No,"ID,Income,Zip Code",9/24/2024,Walk up,Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",38.754229,-77.086236
15830-PART-01,United Community : United Community Ministry,Active,2/24/2025,VA,VA Fairfax County,7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Saturday,4th of the Month,8:00 AM,11:00 AM,No,,9/24/2024,Walk up,Loose groceries,,38.754229,-77.086236
15830-PART-01,United Community : United Community Ministry,Active,2/24/2025,VA,VA Fairfax County,7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Monday,Every week,10:00 AM,1:00 PM,No,"ID,Income,Zip Code",9/24/2024,Walk up,Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",38.754229,-77.086236
15922-PART-01,Mount Moriah Baptist Church : Mount Moriah Baptist Church,Active,2/19/2025,DC,DC Ward 7,1636 East Capital St NE Washington DC 20001,(410) 271-5656,Wednesday,4th of the Month,10:00 AM,12:00 PM,No,ID,10/17/2024,Walk up,Loose groceries,,38.911858,-77.00905
16090-PART-01,Walker Mill Community Development : Walker Mill Community Development Center,Active,2/7/2025,MD,MD Prince George's County,6801 Walker Mill Rd Capitol Heights MD 20743,(240) 350-4056,Monday,Every week,10:00 AM,12:30 PM,No,ID,10/3/2024,Walk up,Loose groceries,Please enter side door and bring own bags,38.8684686,-76.890428
18015-PART-01,Bethlehem Baptist Church : Bethlehem Baptist Church,Active,12/10/2024,VA,VA Fairfax County,7836 Fordson Road Alexandria VA 22306,(703) 867-6049,Saturday,Every Other Week,12:00 PM,2:00 PM,Yes,Zip Code,12/3/2024,Home Delivery,Loose groceries,,38.744598,-77.080676
18714-PART-01,St. Joseph Catholic Church : St. Joseph Catholic Church,Active,2/24/2025,MD,MD Prince George's County,2020 St Joseph Drive  Largo MD 20774,(301) 773-0102,Saturday,3rd of the Month,11:00 AM,12:00 PM,Yes,Income,9/23/2024,Drive thru,Loose groceries,"Emergency food is available after hours. Must call to arrange a pickup at 301-773-4838, ext. 13.",38.869447,-76.778344
19014-PART-01,"SEED Inc. : Sowing Empowerment & Economic Development, Inc.",Active,2/18/2025,MD,MD Prince George's County,5819 Eastpine Dr Riverdale MD 20737,(301) 458-9808,Wednesday,Every week,12:00 PM,2:30 PM,No,ID,10/2/2024,,,Bring bags,38.9584574,-76.9066545
19047-PART-01,"Church of the Incarnation, St. Vincent De Paul Society : Church of the Incarnation, St. Vincent De Paul Society",Active,2/4/2025,DC,DC Ward 7,880 Eastern Ave  NE Washington DC 20019,(301) 728-3134,Tuesday,3rd of the Month,11:00 AM,2:00 PM,No,"ID,Income",10/15/2024,Walk up,Pre-bagged or boxed groceries,,38.9121978,-76.934149
19065-PART-01,Capital Christian Fellowship : Capital Christian Fellowship,Active,2/24/2025,MD,MD Prince George's County,10411 Greenbelt Rd  Lanham MD 20706,,Sunday,Every week,12:00 PM,12:30 PM,No,,9/25/2024,Walk up,Loose groceries,,38.9889881,-76.8249061
19104-PART-01,Grace Ministries - Culmore : Grace Ministries - Culmore,Active,2/20/2025,VA,VA Fairfax County,5901 Leesburg Pike Falls Church VA 22041,(703) 220-5907,Friday,1st of the Month,4:00 PM,6:00 PM,No,,9/25/2024,,,,38.8532762,-77.1363439
19105-PART-01,Divine Grace Mission : Divine Grace Mission,Active,2/13/2025,MD,MD Prince George's County,4208 Glenn Dale Rd Bowie MD 20720,(240) 460-0842,Saturday,3rd of the Month,10:30 AM,2:00 PM,No,,9/24/2024,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,38.9468349,-76.8009981
19105-PART-01,Divine Grace Mission : Divine Grace Mission,Active,2/13/2025,MD,MD Prince George's County,4208 Glenn Dale Rd Bowie MD 20720,(240) 460-0842,Saturday,1st of the Month,10:30 AM,2:00 PM,No,,9/24/2024,"Home Delivery,Walk up",Pre-bagged or boxed groceries,,38.9468349,-76.8009981
19236-PART-01,Bull Run Unitarian Universalists : Bull Run Unitarian Universalists,Active,2/13/2025,VA,VA Manassas City,9350 Main Street Manassas VA 20110,(703) 361-6269,Tuesday,2nd and 4th of the Month,9:30 AM,11:30 AM,Yes,,10/7/2024,Walk up,Loose groceries,,38.7516111,-77.4720402
19262-PART-01,St. Thomas United Methodist Church : St. Thomas United Methodist Church,Active,2/25/2025,VA,VA Manassas City,8899 Sudley Road Manassas VA 20110,(703) 368-5161,Saturday,Every week,9:00 AM,11:00 AM,No,,8/7/2024,,,If you are in line by 11AM you will get food that day!,38.7637627,-77.4783669
19338-PART-01,RCCG New Wine Assembly : RCCG New Wine Assembly,Active,2/7/2025,DC,DC Ward 7,1625 Olive Street NE Washington DC 20019,(202) 398-2211,Saturday,2nd and 4th of the Month,10:00 AM,12:00 PM,No,,10/15/2024,,,,38.9104861,-76.9334768
19351-PART-01,National Baptist Memorial Church : National Baptist Memorial Church,Active,11/18/2024,DC,DC Ward 1,1501 Columbia Rd NW Washington DC 20009,(202) 841-3742,Saturday,2nd and 4th of the Month,9:00 AM,12:00 PM,No,,10/4/2024,Walk up,Loose groceries,,38.9270507,-77.0359884
19370-PART-01,St. Paul's Lutheran Church : St. Paul's Lutheran Church,Active,2/14/2025,DC,DC Ward 3,4900 Connecticut Ave NW  Washington DC  20008,(202) 966-5489,Saturday,1st and 3rd of the Month,10:00 AM,12:00 PM,No,,9/24/2024,Walk up,Loose groceries,,38.9537218,-77.0705332
19412-PART-01,Little David Baptist Church : Little David Baptist Church,Active,2/13/2025,MD,MD Prince George's County,3103 Shepherd Street Mount Rainier MD 20712,(301) 927-5565,Sunday,Every Other Week,9:30 AM,11:00 AM,Yes,,10/2/2024,Walk up,Loose groceries,,38.9395435,-76.9636211
19412-PART-01,Little David Baptist Church : Little David Baptist Church,Active,2/13/2025,MD,MD Prince George's County,3103 Shepherd Street Mount Rainier MD 20712,(301) 927-5565,Friday,Every Other Week,11:00 AM,1:00 PM,No,,10/2/2024,Walk up,Loose groceries,,38.9395435,-76.9636211
19466-PART-01,Mt. Ennon Baptist Church : Mount Ennon Baptist Church,Active,2/6/2025,MD,MD Prince George's County,9832 Piscataway Road Clinton MD 20735,(240) 599-6424,Tuesday,,11:00 AM,2:00 PM,No,,10/15/2024,,,,38.754107,-76.922597
19466-PART-01,Mt. Ennon Baptist Church : Mount Ennon Baptist Church,Active,2/6/2025,MD,MD Prince George's County,9832 Piscataway Road Clinton MD 20735,(240) 599-6424,Saturday,3rd of the Month,10:00 AM,12:00 PM,No,"ID,Income,Zip Code",10/15/2024,,,,38.754107,-76.922597
19488-PART-01,"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",Active,2/22/2025,VA,VA Fairfax County,6037 Franconia Road Alexandria VA 22310,(703) 469-7354,Monday,Every week,9:00 AM,12:30 PM,No,Zip Code,9/24/2024,,,Must live in service area.  Call to check,38.782331,-77.144541
19488-PART-01,"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",Active,2/22/2025,VA,VA Fairfax County,6037 Franconia Road Alexandria VA 22310,(703) 469-7354,Wednesday,Every week,9:00 AM,12:30 PM,Yes,Zip Code,9/24/2024,,,Must live in service area. Call to check,38.782331,-77.144541
19488-PART-01,"Koinonia Foundation, Inc. : Koinonia Foundation, Inc.",Active,2/22/2025,VA,VA Fairfax County,6037 Franconia Road Alexandria VA 22310,(703) 469-7354,Friday,Every week,9:00 AM,12:30 PM,Yes,Zip Code,9/24/2024,,,Must live in service area. Call to check.,38.782331,-77.144541
